Optical Power Monitor;;;;
3.1.3778.562;;;;
Delimiter Used: ; ';';;
;;;;
Start of Measurement ; 10/6/2021 13:55:27;;;
Sample Interval ; 0,2 s;;;
; PM100D 200430215;;;
Type; PM100D;;;
Serialnumber; P0026910;;;
Sensor; S120C;;;
SensorSerialnumber;200430215;;;
Wavelength / Responsivity; 830 nm;;;
;;;;
;;;PM100D 200430215; 
Samples ;Date (MM/dd/yyyy) ;Time of day (hh:mm:ss) ;Power (W);
338; 10/6/2021; 13:56:19.661;1,15E-06;
339; 10/6/2021; 13:56:19.874;1,16E-06;
340; 10/6/2021; 13:56:19.906;1,15E-06;
341; 10/6/2021; 13:56:19.937;1,13E-06;
342; 10/6/2021; 13:56:19.969;1,16E-06;
343; 10/6/2021; 13:56:20.001;1,13E-06;
344; 10/6/2021; 13:56:20.215;1,14E-06;
345; 10/6/2021; 13:56:20.427;1,14E-06;
346; 10/6/2021; 13:56:20.640;1,16E-06;
347; 10/6/2021; 13:56:20.852;1,16E-06;
348; 10/6/2021; 13:56:21.065;1,16E-06;
349; 10/6/2021; 13:56:21.277;1,15E-06;
350; 10/6/2021; 13:56:21.492;1,16E-06;
351; 10/6/2021; 13:56:21.705;1,16E-06;
352; 10/6/2021; 13:56:21.920;1,15E-06;
353; 10/6/2021; 13:56:21.951;1,15E-06;
354; 10/6/2021; 13:56:21.982;1,16E-06;
355; 10/6/2021; 13:56:22.013;1,16E-06;
356; 10/6/2021; 13:56:22.228;1,16E-06;
357; 10/6/2021; 13:56:22.440;1,16E-06;
358; 10/6/2021; 13:56:22.653;1,17E-06;
359; 10/6/2021; 13:56:22.867;1,15E-06;
360; 10/6/2021; 13:56:23.080;1,15E-06;
361; 10/6/2021; 13:56:23.293;1,16E-06;
362; 10/6/2021; 13:56:23.508;1,17E-06;
363; 10/6/2021; 13:56:23.720;1,16E-06;
364; 10/6/2021; 13:56:23.935;1,16E-06;
365; 10/6/2021; 13:56:23.966;1,16E-06;
366; 10/6/2021; 13:56:24.000;1,14E-06;
367; 10/6/2021; 13:56:24.214;1,16E-06;
368; 10/6/2021; 13:56:24.428;1,17E-06;
369; 10/6/2021; 13:56:24.641;1,16E-06;
370; 10/6/2021; 13:56:24.854;1,15E-06;
371; 10/6/2021; 13:56:25.066;1,15E-06;
372; 10/6/2021; 13:56:25.278;1,15E-06;
373; 10/6/2021; 13:56:25.492;1,16E-06;
374; 10/6/2021; 13:56:25.706;1,15E-06;
375; 10/6/2021; 13:56:25.918;1,15E-06;
376; 10/6/2021; 13:56:25.950;1,15E-06;
377; 10/6/2021; 13:56:25.980;1,17E-06;
378; 10/6/2021; 13:56:26.012;1,12E-06;
379; 10/6/2021; 13:56:26.225;1,14E-06;
380; 10/6/2021; 13:56:26.438;1,15E-06;
381; 10/6/2021; 13:56:26.651;1,15E-06;
382; 10/6/2021; 13:56:26.863;1,14E-06;
383; 10/6/2021; 13:56:27.077;1,14E-06;
384; 10/6/2021; 13:56:27.291;1,16E-06;
385; 10/6/2021; 13:56:27.505;1,14E-06;
386; 10/6/2021; 13:56:27.719;1,15E-06;
387; 10/6/2021; 13:56:27.933;1,15E-06;
388; 10/6/2021; 13:56:27.965;1,17E-06;
389; 10/6/2021; 13:56:27.996;1,15E-06;
390; 10/6/2021; 13:56:28.027;1,17E-06;
391; 10/6/2021; 13:56:28.242;1,16E-06;
392; 10/6/2021; 13:56:28.457;1,17E-06;
393; 10/6/2021; 13:56:28.670;1,16E-06;
394; 10/6/2021; 13:56:28.885;1,16E-06;
395; 10/6/2021; 13:56:28.917;1,14E-06;
396; 10/6/2021; 13:56:28.947;1,17E-06;
397; 10/6/2021; 13:56:28.978;1,16E-06;
398; 10/6/2021; 13:56:29.009;1,14E-06;
399; 10/6/2021; 13:56:29.223;1,16E-06;
400; 10/6/2021; 13:56:29.437;1,16E-06;
401; 10/6/2021; 13:56:29.650;1,17E-06;
402; 10/6/2021; 13:56:29.866;1,17E-06;
403; 10/6/2021; 13:56:30.080;1,16E-06;
404; 10/6/2021; 13:56:30.295;1,16E-06;
405; 10/6/2021; 13:56:30.509;1,15E-06;
406; 10/6/2021; 13:56:30.723;1,16E-06;
407; 10/6/2021; 13:56:30.937;1,15E-06;
408; 10/6/2021; 13:56:30.969;1,15E-06;
409; 10/6/2021; 13:56:31.001;1,15E-06;
410; 10/6/2021; 13:56:31.213;1,15E-06;
411; 10/6/2021; 13:56:31.428;1,15E-06;
412; 10/6/2021; 13:56:31.641;1,15E-06;
413; 10/6/2021; 13:56:31.854;1,14E-06;
414; 10/6/2021; 13:56:32.066;1,15E-06;
415; 10/6/2021; 13:56:32.280;1,15E-06;
416; 10/6/2021; 13:56:32.493;1,14E-06;
417; 10/6/2021; 13:56:32.709;1,15E-06;
418; 10/6/2021; 13:56:32.923;1,15E-06;
419; 10/6/2021; 13:56:32.956;1,15E-06;
420; 10/6/2021; 13:56:32.987;1,14E-06;
421; 10/6/2021; 13:56:33.018;1,16E-06;
422; 10/6/2021; 13:56:33.229;1,15E-06;
423; 10/6/2021; 13:56:33.444;1,14E-06;
424; 10/6/2021; 13:56:33.656;1,15E-06;
425; 10/6/2021; 13:56:33.872;1,15E-06;
426; 10/6/2021; 13:56:33.903;1,15E-06;
427; 10/6/2021; 13:56:33.934;1,13E-06;
428; 10/6/2021; 13:56:33.965;1,16E-06;
429; 10/6/2021; 13:56:33.996;1,14E-06;
430; 10/6/2021; 13:56:34.027;1,14E-06;
431; 10/6/2021; 13:56:34.242;1,06E-06;
432; 10/6/2021; 13:56:34.455;9,37E-07;
433; 10/6/2021; 13:56:34.669;9,34E-07;
434; 10/6/2021; 13:56:34.882;9,32E-07;
435; 10/6/2021; 13:56:34.913;9,33E-07;
436; 10/6/2021; 13:56:34.944;9,39E-07;
437; 10/6/2021; 13:56:34.975;9,22E-07;
438; 10/6/2021; 13:56:35.006;9,49E-07;
439; 10/6/2021; 13:56:35.219;9,37E-07;
440; 10/6/2021; 13:56:35.431;9,32E-07;
441; 10/6/2021; 13:56:35.646;9,34E-07;
442; 10/6/2021; 13:56:35.861;9,42E-07;
443; 10/6/2021; 13:56:36.076;9,35E-07;
444; 10/6/2021; 13:56:36.288;9,35E-07;
445; 10/6/2021; 13:56:36.501;9,35E-07;
446; 10/6/2021; 13:56:36.717;9,35E-07;
447; 10/6/2021; 13:56:36.929;9,37E-07;
448; 10/6/2021; 13:56:36.960;9,46E-07;
449; 10/6/2021; 13:56:36.994;9,38E-07;
450; 10/6/2021; 13:56:37.027;9,47E-07;
451; 10/6/2021; 13:56:37.242;9,31E-07;
452; 10/6/2021; 13:56:37.456;1,01E-06;
453; 10/6/2021; 13:56:37.669;1,19E-06;
454; 10/6/2021; 13:56:37.884;1,19E-06;
455; 10/6/2021; 13:56:37.915;1,20E-06;
456; 10/6/2021; 13:56:37.946;1,20E-06;
457; 10/6/2021; 13:56:37.977;1,20E-06;
458; 10/6/2021; 13:56:38.009;1,19E-06;
459; 10/6/2021; 13:56:38.223;1,20E-06;
460; 10/6/2021; 13:56:38.439;1,19E-06;
461; 10/6/2021; 13:56:38.653;1,20E-06;
462; 10/6/2021; 13:56:38.865;1,20E-06;
463; 10/6/2021; 13:56:39.078;1,20E-06;
464; 10/6/2021; 13:56:39.291;1,20E-06;
465; 10/6/2021; 13:56:39.504;1,20E-06;
466; 10/6/2021; 13:56:39.718;1,20E-06;
467; 10/6/2021; 13:56:39.934;1,19E-06;
468; 10/6/2021; 13:56:39.966;1,19E-06;
469; 10/6/2021; 13:56:40.002;1,19E-06;
470; 10/6/2021; 13:56:40.219;1,19E-06;
471; 10/6/2021; 13:56:40.434;1,20E-06;
472; 10/6/2021; 13:56:40.647;1,20E-06;
473; 10/6/2021; 13:56:40.861;1,20E-06;
474; 10/6/2021; 13:56:41.074;1,19E-06;
475; 10/6/2021; 13:56:41.286;1,20E-06;
476; 10/6/2021; 13:56:41.499;1,22E-06;
477; 10/6/2021; 13:56:41.712;1,25E-06;
478; 10/6/2021; 13:56:41.925;1,25E-06;
479; 10/6/2021; 13:56:41.957;1,27E-06;
480; 10/6/2021; 13:56:42.002;1,29E-06;
481; 10/6/2021; 13:56:42.227;1,20E-06;
