x(ps)	counts	counts(1/s)
97.5	229	2290
97.6	215	2150
97.7	251	2510
97.8	218	2180
97.89999999999999	223	2230
98	269	2690
98.1	222	2220
98.2	261	2610
98.3	253	2530
98.39999999999999	229	2290
98.5	244	2440
98.6	256	2560
98.7	232	2320
98.8	277	2770
98.89999999999999	248	2480
99	797	7970
99.1	4540	45400
99.2	4446	44460
99.3	4417	44170
99.39999999999999	4365	43650
99.5	4514	45140
99.6	4443	44430
99.7	4543	45430
99.8	4400	44000
99.89999999999999	4542	45420
