x(ps)	counts	counts(1/s)
81.7	39416	394160
81.8	39174	391740
81.89999999999999	38985	389850
82	39330	393300
82.1	39200	392000
82.2	29281	292810
82.3	2132	21320
82.39999999999999	2137	21370
82.5	2108	21080
82.6	2042	20420
82.7	2081	20810
82.8	2097	20970
82.89999999999999	2055	20550
83	2183	21830
83.1	2162	21620
83.2	2224	22240
83.3	2248	22480
83.39999999999999	2260	22600
83.5	2383	23830
83.6	2277	22770
83.7	2286	22860
83.8	2267	22670
83.89999999999999	2250	22500
84	2316	23160
84.1	2221	22210
84.2	11870	118700
84.3	38899	388990
84.39999999999999	39013	390130
84.5	38663	386630
84.6	38670	386700
84.7	38974	389740
84.8	38585	385850
84.89999999999999	38847	388470
85	38672	386720
85.1	38609	386090
85.2	38747	387470
85.3	39050	390500
85.39999999999999	38946	389460
85.5	39088	390880
85.6	38656	386560
85.7	38990	389900
85.8	38733	387330
85.89999999999999	39010	390100
86	38985	389850
86.1	39255	392550
86.2	29360	293600
86.3	2114	21140
86.39999999999999	2103	21030
86.5	2076	20760
86.6	2108	21080
86.7	2119	21190
86.8	2175	21750
86.89999999999999	2139	21390
87	2082	20820
87.1	2171	21710
87.2	2225	22250
87.3	2304	23040
87.39999999999999	2411	24110
87.5	2338	23380
87.6	2278	22780
87.7	2225	22250
87.8	2318	23180
87.89999999999999	2322	23220
88	2336	23360
88.1	2287	22870
88.2	11782	117820
88.3	38705	387050
88.39999999999999	38578	385780
88.5	38538	385380
88.6	38478	384780
88.7	38527	385270
88.8	38652	386520
88.89999999999999	38807	388070
89	38423	384230
89.1	38368	383680
89.2	38801	388010
89.3	38913	389130
89.39999999999999	38992	389920
89.5	38858	388580
89.6	38925	389250
89.7	38778	387780
89.8	39180	391800
89.89999999999999	38818	388180
90	38538	385380
90.1	38544	385440
90.2	29326	293260
90.3	2109	21090
90.39999999999999	2065	20650
90.5	2037	20370
90.6	2084	20840
90.7	2116	21160
90.8	2139	21390
90.89999999999999	1957	19570
91	2089	20890
91.1	2094	20940
91.2	2384	23840
91.3	2267	22670
91.39999999999999	2305	23050
91.5	2229	22290
91.6	2195	21950
91.7	2270	22700
91.8	2196	21960
91.89999999999999	2224	22240
92	2167	21670
92.1	2247	22470
92.2	11642	116420
92.3	38402	384020
92.39999999999999	38794	387940
92.5	38188	381880
92.6	38188	381880
92.7	38651	386510
92.8	38421	384210
92.89999999999999	38537	385370
93	38263	382630
93.1	38341	383410
93.2	38296	382960
93.3	38802	388020
93.39999999999999	38333	383330
93.5	38348	383480
93.6	38692	386920
93.7	38457	384570
93.8	38797	387970
93.89999999999999	38767	387670
94	38577	385770
94.1	38428	384280
94.2	29204	292040
94.3	2162	21620
94.39999999999999	2115	21150
94.5	2081	20810
94.6	2098	20980
94.7	2118	21180
94.8	2085	20850
94.89999999999999	2032	20320
95	2129	21290
95.1	2070	20700
95.2	2243	22430
95.3	2268	22680
95.39999999999999	2239	22390
95.5	2310	23100
95.6	2281	22810
95.7	2353	23530
95.8	2219	22190
95.89999999999999	2315	23150
96	2298	22980
96.1	2229	22290
96.2	11499	114990
96.3	38373	383730
96.39999999999999	38437	384370
96.5	38275	382750
96.6	38221	382210
96.7	38224	382240
96.8	38159	381590
96.89999999999999	38139	381390
97	38144	381440
97.1	38394	383940
97.2	38377	383770
97.3	38676	386760
97.39999999999999	38581	385810
97.5	38586	385860
97.6	38614	386140
97.7	38593	385930
97.8	38417	384170
97.89999999999999	38511	385110
98	38703	387030
98.1	38385	383850
98.2	29208	292080
98.3	2074	20740
98.39999999999999	2003	20030
98.5	2093	20930
98.6	2043	20430
98.7	2022	20220
98.8	2075	20750
98.89999999999999	2013	20130
99	2077	20770
99.1	2120	21200
99.2	2249	22490
99.3	2176	21760
99.39999999999999	2257	22570
99.5	2243	22430
99.6	2164	21640
99.7	2196	21960
99.8	2190	21900
99.89999999999999	2192	21920
